Comment,Mn,Zr,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Pb,Th,U,P,La,Ce,Pr,Nd,Sr,Y,Lu
BADvf_40,1312,0.39,189,17.9,155,18.5,103,21.6,61,7.27,43.4,14.26,11.7,2.45,73400,970,2180,282,1079,301,586,5.91
BADvf_41,1116,2.45,257.7,23.11,215.3,27.56,164.2,34,95.9,12.47,70.7,15.99,38.3,5.43,59200,2385,4860,502,1794,166.7,1017,9.99
BADvf_42,1791,1.15,290,22.2,235,30,181,36,102.2,13.36,82.6,37.33,43,20.71,68690,2371,4990,522,1917,96,1059,11.63
BADf_1,473,0.67,40.7,9.78,34.8,5.08,33,7.73,23.7,3.53,25,23.51,15.3,9.37,259000,472,892,77.3,272,253,263,4.4
BADf_2,1725,0.6,238,10.13,181.6,22.8,142.2,28.9,83.9,12.41,83.6,12.91,43.1,32.8,241900,1900,4070,411,1559,53.6,1001,14.72
BADf_3,679,0.185,123.7,16.77,110.4,13.95,81.4,16.91,48.6,6.83,43.6,6.269,19.08,16.5,241400,467,1278,154.2,674,293,496,7.56
BADf_4,557,0.523,221.7,5.52,191.7,24.88,150.1,29.19,78.7,10.28,61.3,3.713,10.62,3.967,240400,553,1737,235.5,1113,345.5,804,8.23
BADf_5,1389,0.95,287,31.6,220.4,26.6,152.9,27.3,68.8,8.51,45.7,29.4,17.5,3.76,244000,1117,2880,352,1588,534,730,5.85
BADf_6,784,0.59,353.6,21.28,285.9,36.5,217.1,38.5,103.1,13.47,81.8,22.8,26.39,41.4,228300,1092,2970,378,1748,278,1126,10.6
BADf_7,471,0.082,177.9,13.55,174,24.16,145.7,28.82,81.9,10.58,66.2,6.925,14.16,7.69,254900,171.3,713,126.1,682,274.5,820,9.91
BADf_8,606,0.276,171.6,9.65,153.2,18.45,108.4,20.09,53.3,6.92,40,6.17,8.79,7.72,245500,371,1187,169.6,821,256.2,536,6.15
BADf_9,887,0.537,118.2,13.77,106.3,12.84,76.8,15.27,40.6,5.36,31.5,10.504,29.8,13.02,247700,1185,1863,172.4,710,426.9,424,5.37
BADf_10,423,0.446,307.9,11.92,261.6,32.82,194.9,36.1,94.5,11.76,63.9,6.43,12.91,3.304,247000,722,2250,307.1,1473,262,1026,8.58
BADf_11,653,0.487,106.4,11.81,96.1,11.33,66.7,13.25,36.59,4.93,30.7,9.112,44.7,15.57,246400,933,1567,152.1,638,413.3,366,4.7
BADf_12,643,2.05,308.5,17.61,274.1,37.1,220,39.44,101.4,13.13,78.4,11.66,3.95,2.86,244100,462,1522,228.3,1170,166.7,1217,10.13
BADf_13,537,0.27,288,19.7,283,40.2,253,50.9,143,20.5,129,3.12,11.3,3.54,251800,373,1340,214,1069,183,1520,19.8
