Comments,Al,Sr,Fe,Y,Zr,Nb,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,W,Pb,Th,U
COR_tivf_3228,9050,28,5710,2750,129.3,321,79.2,522,118.8,765,312,101.7,388,69.8,487,103.5,299,44.6,291.5,38.1,10.22,66.2,9.82,1.51,10.54
COR_tivf_2739,18900,48.6,20100,327,64.6,92.5,44.9,239,49.4,291,84.8,19.34,81,11.32,71.2,13.54,39.4,5.62,38,4.59,3.63,140,6.55,1.44,2.385
COR_tivf_2752,1260000,2800,1410000,810,175,86,220,33,19,127,77,21.9,110,20.9,155,31.6,83,10.7,69.5,9,16,3910,132,60,6
COR_tivf_3600,12020,29.27,7490,1519,67.1,399.1,12.15,129.1,46.1,426,234.8,247.2,277,46.9,296.9,57.7,157.6,21.97,153.9,20.83,4.37,387,11.83,0.0472,1.8
COR_tivf_2780,20600,50,26400,231.1,112.5,110.9,92.5,340,52.3,226,50,19.8,39.6,6.17,37.9,7.87,23.3,3.83,29.2,5,7.32,153,8.74,2.09,7.34
COR_tivf_3634,57600,63.1,108000,1092,392,511,30.7,112,24.8,183,83.3,25.5,118.2,24,173.4,37.7,115.2,18.06,116.9,16.46,15.8,1000,29.3,4.5,7.1
COR_tivf_3735,13160,46.4,10260,1419,132,207.3,30,241.8,68.9,503,215,61.3,239,40.4,264.9,54.1,154.7,21.3,146.6,19.4,10.59,32,8.24,0.374,7.11
COR_tivf_2811,840000,1990,1060000,802,284,213,85,204,34,163,56,21.5,100,20,149,35.5,103,14.3,77,12.2,17.8,2130,664,15.1,9.4
COR_tivf_2060,7800,40.4,15400,203.6,99.4,195.8,124.8,575,88.7,407,78.4,52,57.6,6.95,38.7,7.47,21.1,2.96,18.8,2.74,6.6,80,6.7,1.932,8.78
COR_tivf_3595,15370,57.39,2060,908,352.3,261.9,431,1655,251.8,1239,280.3,105.8,236.8,31.8,187.1,34.93,90.2,10.95,68.3,9.52,16.96,17.8,3.99,6.07,7.22
COR_tivf_2835,53400,98.9,91800,405,52.9,1290,6.9,26.1,5.11,28.9,11.7,17.4,19.8,5.42,51.5,14.9,65.1,13.48,111.2,16.7,4.54,400,16.6,0.074,0.45
COR_tivf_3736,127400,1004,78000,1264,6100,206,45,313,68,448,191,44.3,201,34.1,220,45.3,130.7,19.7,127.2,18.7,140,111,162.6,0.48,4.9
COR_tivf_2836,62700,43.9,104100,1083,259,241,65,306,66.8,425,167,37.9,189.5,32.3,213,41.8,126.2,16.56,113.9,15,15.83,190,29.7,17.6,59.5
COR_tivf_3016,70000,33.9,105000,710,92.6,258,8.5,63,18.5,132,68,18.4,95.4,16.8,117.8,27.9,94.5,14.9,104.5,16.4,9.29,89,13.05,0.046,0.529
COR_tivf_3073,3410000,1786,4900000,1993,650,237,182,703,108,654,180,47.1,237,43.8,332,67.6,242,39.3,243,43.5,36.7,3040,306.4,2.28,1.49
COR_tivf_3115,37500,134,34000,133.2,56.9,133.5,2.06,7.3,1.83,13.3,7.6,6.55,14.6,3.13,24.9,5.21,18.5,3.01,22.9,3.24,3.64,145,6.26,0.107,0.224
